50.110: [GC [PSYoungGen: 250048K->4832K(253440K)] 536268K->304564K(777728K), 0.0923295 secs] [Times: user=0.20 sys=0.00, real=0.09 secs] 
51.122: [GC [PSYoungGen: 249568K->6624K(253440K)] 549300K->311196K(777728K), 0.0397810 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
52.077: [GC [PSYoungGen: 251360K->5408K(253440K)] 555932K->316260K(777728K), 0.0402011 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
53.024: [GC [PSYoungGen: 250144K->5888K(253952K)] 560996K->322140K(778240K), 0.0409565 secs] [Times: user=0.09 sys=0.00, real=0.04 secs] 
54.005: [GC [PSYoungGen: 251648K->5312K(253952K)] 567900K->327476K(778240K), 0.0364140 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
54.960: [GC [PSYoungGen: 251072K->4928K(253952K)] 573236K->332428K(778240K), 0.0371493 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
55.912: [GC [PSYoungGen: 250688K->6528K(253952K)] 578188K->338956K(778240K), 0.0392608 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
56.863: [GC [PSYoungGen: 252288K->5600K(254464K)] 584716K->344204K(778752K), 0.0442989 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
57.841: [GC [PSYoungGen: 251872K->5696K(253952K)] 590476K->349924K(778240K), 0.0380646 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
58.788: [GC [PSYoungGen: 251968K->5376K(254464K)] 596196K->355308K(778752K), 0.0393104 secs] [Times: user=0.05 sys=0.02, real=0.04 secs] 
59.751: [GC [PSYoungGen: 252160K->4960K(254464K)] 602092K->360300K(778752K), 0.0366614 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
60.701: [GC [PSYoungGen: 251744K->4928K(254464K)] 607084K->365244K(778752K), 0.0289329 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
61.637: [GC [PSYoungGen: 251712K->6912K(254464K)] 612028K->372108K(778752K), 0.0336886 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
62.597: [GC [PSYoungGen: 253696K->5376K(254464K)] 618892K->377172K(778752K), 0.0433115 secs] [Times: user=0.09 sys=0.00, real=0.04 secs] 
63.567: [GC [PSYoungGen: 252160K->5920K(254464K)] 623956K->383092K(778752K), 0.0455736 secs] [Times: user=0.09 sys=0.02, real=0.04 secs] 
64.599: [GC [PSYoungGen: 252704K->5216K(254464K)] 629876K->388332K(778752K), 0.0344464 secs] [Times: user=0.14 sys=0.00, real=0.04 secs] 
65.644: [GC [PSYoungGen: 252000K->4768K(254464K)] 635116K->393092K(778752K), 0.0340802 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
66.592: [GC [PSYoungGen: 251552K->4704K(254464K)] 639876K->397812K(778752K), 0.0297875 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
67.540: [GC [PSYoungGen: 251488K->7072K(254464K)] 644596K->404908K(778752K), 0.0335432 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
68.498: [GC [PSYoungGen: 253856K->5344K(254464K)] 651692K->409948K(778752K), 0.0335427 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
